LATITUDE,LONGITUDE,AVERAGE_SPEED,MAXIMUM_SPEED,NUMBER_OF_VEHICLES
40.8609008789063,29.3280029296875,53.12903225806452,125,117.12903225806451
40.8609008789063,29.3719482421875,81.70833333333333,128,1.875
40.8609008789063,29.3829345703125,72.41935483870968,158,268.5483870967742
40.8609008789063,29.4049072265625,89.19354838709677,173,262.03225806451616
40.8663940429688,29.2510986328125,43.25806451612903,121,86.35483870967742
40.8663940429688,29.2620849609375,40.354838709677416,109,218.6451612903226
40.8663940429688,29.2730712890625,38.516129032258064,151,736.7096774193549
40.8663940429688,29.2840576171875,51.9,102,1.1
40.8663940429688,29.3280029296875,41.61290322580645,104,133.3548387096774
40.8663940429688,29.3389892578125,44.38709677419355,126,199.03225806451613
40.8663940429688,29.3499755859375,42.54838709677419,83,57.516129032258064
40.8663940429688,29.3829345703125,66.29032258064517,143,165.4516129032258
40.8663940429688,29.3939208984375,78.51612903225806,166,307.61290322580646
40.8663940429688,29.4049072265625,87.96774193548387,155,84.45161290322581
40.8718872070313,29.2291259765625,54.74193548387097,121,180.8709677419355
40.8718872070313,29.2401123046875,51.935483870967744,123,122.58064516129032
40.8718872070313,29.2510986328125,46.935483870967744,121,167.83870967741936
40.8718872070313,29.2620849609375,41.774193548387096,139,450.64516129032256
40.8718872070313,29.2730712890625,35.064516129032256,138,353.48387096774195
40.8718872070313,29.2840576171875,77.45161290322581,158,267.3225806451613
40.8718872070313,29.2950439453125,60.32258064516129,154,338.2903225806452
40.8718872070313,29.3280029296875,27.06451612903226,85,178.8709677419355
40.8718872070313,29.3389892578125,48.03225806451613,117,122.80645161290323
40.8718872070313,29.3939208984375,67.35483870967742,178,449.7096774193548
40.8773803710938,29.2181396484375,50.12903225806452,131,168.4516129032258
40.8773803710938,29.2291259765625,31.93548387096774,100,104.58064516129032
40.8773803710938,29.2401123046875,35.87096774193548,115,234.1290322580645
40.8773803710938,29.2510986328125,31.129032258064516,119,44.38709677419355
40.8773803710938,29.2620849609375,38.064516129032256,133,401.0
40.8773803710938,29.2950439453125,84.74193548387096,138,55.58064516129032
40.8773803710938,29.3060302734375,81.03225806451613,150,312.64516129032256
40.8773803710938,29.3170166015625,56.29032258064516,153,338.5483870967742
40.8773803710938,29.3280029296875,33.87096774193548,78,40.935483870967744
40.8773803710938,29.3389892578125,47.96774193548387,131,192.25806451612902
40.8773803710938,29.3829345703125,83.29032258064517,168,297.61290322580646
40.8773803710938,29.3939208984375,85.48387096774194,164,122.06451612903226
40.8828735351563,29.1851806640625,48.354838709677416,85,15.709677419354838
40.8828735351563,29.1961669921875,58.16129032258065,117,98.29032258064517
40.8828735351563,29.2071533203125,61.41935483870968,132,134.80645161290323
40.8828735351563,29.2181396484375,61.12903225806452,131,35.064516129032256
40.8828735351563,29.2401123046875,46.064516129032256,127,292.93548387096774
